 Area 7.Cogeneration Plant.GEN7003 Cogeneration Plant No 3 Co-Gen.Variables.HMI Indication - Actual Power  Raw Historic			
Time/Date	Value		
01/01/2020 22:17:40	1011.03		
01/01/2020 22:17:54	1014.00		
01/01/2020 22:17:56	1019.94		
01/01/2020 22:18:22	1012.51		
01/01/2020 22:18:24	1009.91		
01/01/2020 22:24:48	1013.63		
01/01/2020 22:24:50	1018.09		
01/01/2020 22:25:06	1013.63		
01/01/2020 22:25:08	1007.31		
01/01/2020 22:28:28	1013.63		
01/01/2020 22:28:30	1015.86		
01/01/2020 22:29:52	1012.14		
01/01/2020 22:29:54	1006.94		
01/01/2020 22:30:52	1013.63		
01/01/2020 22:30:54	1018.46		
01/01/2020 22:31:06	1014.00		
01/01/2020 22:31:08	1009.91		
01/01/2020 22:46:06	1007.31		
01/01/2020 22:46:08	1001.37		
01/01/2020 22:46:22	1006.94		
01/01/2020 22:46:24	1012.89		
01/01/2020 22:54:44	1007.31		
01/01/2020 22:54:46	1002.86		
01/01/2020 22:55:00	1008.06		
01/01/2020 22:55:02	1013.63		
01/01/2020 22:58:08	1006.94		
01/01/2020 22:58:10	1005.46		
01/01/2020 22:58:36	1007.31		
01/01/2020 22:58:38	1013.63		
01/01/2020 23:02:36	1008.43		
01/01/2020 23:02:38	1005.46		
01/01/2020 23:02:40	1010.66		
01/01/2020 23:02:42	1013.63		
01/01/2020 23:13:28	1019.94		
01/01/2020 23:13:30	1025.89		
01/01/2020 23:13:32	1020.31		
01/01/2020 23:13:34	1015.86		
01/01/2020 23:47:56	1013.63		
01/01/2020 23:47:58	1007.31		
01/01/2020 23:48:28	1014.74		
01/01/2020 23:48:30	1019.94		
01/01/2020 23:50:16	1013.63		
01/01/2020 23:50:18	1008.80		
01/01/2020 23:51:38	1012.89		
01/01/2020 23:51:40	1017.71		
01/01/2020 23:55:42	1013.63		
01/01/2020 23:55:44	1009.17		
01/01/2020 23:56:22	1013.63		
01/01/2020 23:56:24	1019.94		
01/01/2020 23:56:50	1012.51		
01/01/2020 23:56:52	1011.77		
01/01/2020 23:57:44	1013.63		
01/01/2020 23:57:46	1019.94		
01/01/2020 23:58:02	1013.63		
01/01/2020 23:58:04	1009.91		
01/01/2020 23:58:20	1013.63		
01/01/2020 23:58:22	1019.94		
01/01/2020 23:59:18	1013.63		
01/01/2020 23:59:20	1008.06		
01/01/2020 23:59:30	1014.00		
01/01/2020 23:59:32	1021.43		
01/01/2020 23:59:38	1013.63		
01/01/2020 23:59:40	1012.51		
02/01/2020 00:13:28	1017.34		
02/01/2020 00:13:30	1021.06		
02/01/2020 00:14:08	1015.86		
02/01/2020 00:14:10	1012.51		
02/01/2020 01:26:22	1020.31		
02/01/2020 01:26:24	1022.17		
02/01/2020 01:26:26	1010.29		
02/01/2020 01:28:18	1017.34		
02/01/2020 01:28:20	1019.20		
02/01/2020 01:28:40	1014.00		
02/01/2020 01:28:42	1008.43		
02/01/2020 01:29:32	1014.00		
02/01/2020 01:29:34	1018.46		
02/01/2020 01:30:08	1011.77		
02/01/2020 01:30:10	1006.94		
02/01/2020 01:30:52	1013.63		
02/01/2020 01:30:54	1015.86		
02/01/2020 01:31:14	1011.03		
02/01/2020 01:31:16	1006.94		
02/01/2020 01:35:54	1014.00		
02/01/2020 01:35:56	1017.34		
02/01/2020 01:36:06	1014.00		
02/01/2020 01:36:08	1006.20		
02/01/2020 01:36:18	1012.51		
02/01/2020 01:36:20	1014.37		
02/01/2020 01:55:50	1007.31		
02/01/2020 01:55:52	1006.20		
02/01/2020 01:56:34	1008.80		
02/01/2020 01:56:36	1015.86		
02/01/2020 01:56:38	1013.63		
02/01/2020 01:56:40	1007.31		
02/01/2020 01:57:38	1012.51		
02/01/2020 01:57:40	1016.23		
02/01/2020 01:57:46	1009.17		
02/01/2020 01:57:48	1006.94		
02/01/2020 02:05:06	1013.63		
02/01/2020 02:05:08	1016.60		
02/01/2020 02:08:26	1012.14		
02/01/2020 02:08:28	1008.43		
02/01/2020 02:08:44	1014.00		
02/01/2020 02:08:46	1018.46		
02/01/2020 02:09:28	1011.77		
02/01/2020 02:09:30	1007.31		
02/01/2020 02:09:58	1014.00		
